ID_yr,Site,Year,Species,Treatment,spp_trt,Phytometer,Neighbour,light,carbon,WUE,gs
PCC2_2016,PCC2,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,500,13.2,2.74,198
PCC2_2016,PCC2,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,200,9.6,2.21,170
PCC2_2016,PCC2,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,100,6.9,1.9,128
PCC2_2016,PCC2,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,50,5.4,2.02,86
PCC2_2016,PCC2,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,0,4.2,1.92,67
PCC2CU_2016,PCC2CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,1500,23.6,3.12,386
PCC2CU_2016,PCC2CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,1000,20.6,2.92,328
PCC2CU_2016,PCC2CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,500,14.5,2.23,273
PCC2CU_2016,PCC2CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,200,5.9,0.88,248
PCC2CU_2016,PCC2CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,100,2,0.35,209
PCC2CU_2016,PCC2CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,50,0,0,164
PCC2CU_2016,PCC2CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,0,-1.2,-0.33,123
PCC3_2016,PCC3,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,1500,17.3,2.82,250
PCC3_2016,PCC3,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,1000,14.8,2.72,216
PCC3_2016,PCC3,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,500,10.9,2.12,203
PCC3_2016,PCC3,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,200,4.8,1.07,163
PCC3_2016,PCC3,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,100,2,0.64,101
PCC3_2016,PCC3,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,50,0.3,0.14,65
PCC3_2016,PCC3,2016,Phragmites,Competition,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,0,-0.7,-0.53,36
PCC3CU_2016,PCC3CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,1500,19,4.25,202
PCC3CU_2016,PCC3CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,1000,18,4.08,211
PCC3CU_2016,PCC3CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,500,13.5,3.35,184
PCC3CU_2016,PCC3CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,200,6.1,1.8,146
PCC3CU_2016,PCC3CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,100,2.1,0.73,110
PCC3CU_2016,PCC3CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,50,0.1,0.04,88
PCC3CU_2016,PCC3CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,0,-1.2,-0.62,67
PCC4CU_2016,PCC4CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,1500,20.4,3.21,249
PCC4CU_2016,PCC4CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,1000,18.8,2.95,248
PCC4CU_2016,PCC4CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,500,12.9,2.29,217
PCC4CU_2016,PCC4CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,200,6.4,1.42,159
PCC4CU_2016,PCC4CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,100,2.9,0.79,123
PCC4CU_2016,PCC4CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,50,0.4,0.19,65
PCC4CU_2016,PCC4CU,2016,Phragmites,No competition,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,0,-0.6,-0.44,40
TYP1_2016,TYP1,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,1500,21.5,2.83,421
TYP1_2016,TYP1,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,1000,20,2.5,415
TYP1_2016,TYP1,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,500,15.8,2.04,447
TYP1_2016,TYP1,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,200,10.1,1.31,403
TYP1_2016,TYP1,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,100,5.6,0.73,453
TYP1_2016,TYP1,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,50,3.9,0.54,423
TYP1_2016,TYP1,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,0,2.3,0.32,390
TYP1CU_2016,TYP1CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,1500,28.1,3.12,639
TYP1CU_2016,TYP1CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,1000,27.6,3.14,656
TYP1CU_2016,TYP1CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,500,19.3,2.37,598
TYP1CU_2016,TYP1CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,200,11.8,1.41,583
TYP1CU_2016,TYP1CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,100,7.4,0.85,571
TYP1CU_2016,TYP1CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,50,6.1,0.67,558
TYP1CU_2016,TYP1CU,2016,Typha,No competition,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,0,5.5,0.61,663
TYP2_2016,TYP2,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,1500,19.2,2.69,435
TYP2_2016,TYP2,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,1000,18.1,2.52,435
TYP2_2016,TYP2,2016,Typha,Competition,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,500,13.3,1.79,461
